         579501182 function calls (575881116 primitive calls) in 278.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 typing.py:1258(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:833(is_ncname)
        2    0.000    0.000    0.000    0.000 typing.py:313(_remove_dups_flatten)
       16    0.000    0.000    0.000    0.000 typing.py:1245(_is_dunder)
        2    0.000    0.000    0.000    0.000 metamodelcore.py:147(is_valid)
        1    0.000    0.000    0.000    0.000 parse.py:913(_byte_quoter_factory)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        5    0.000    0.000    0.000    0.000 {built-in method unicodedata.category}
        1    0.000    0.000    0.000    0.000 parse.py:828(__init__)
        1    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 formatutils.py:52(sfx)
       16    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 typing.py:299(_deduplicate)
        5    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
        2    0.000    0.000    0.000    0.000 typing.py:247(_collect_parameters)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'frozenset' objects}
        7    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 typing.py:458(__repr__)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 meta.py:568(<listcomp>)
        1    0.000    0.000    0.000    0.000 uml_model.py:158(by_pkg_id)
        1    0.000    0.000    0.000    0.000 meta.py:577(<listcomp>)
        1    0.000    0.000    0.000    0.000 meta.py:581(<listcomp>)
