         313532049 function calls (312838991 primitive calls) in 114.626 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 uml_model.py:164(__init__)
    16146    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     5860    0.001    0.000    0.002    0.000 <string>:1(<lambda>)
     4242    0.001    0.000    0.002    0.000 parser.py:36(parse_iso_datetime_val)
    16146    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    10491    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 uml_model.py:133(__init__)
     8145    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        3    0.001    0.000    0.001    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        1    0.000    0.000    0.001    0.001 read.py:63(read_uml_classes)
        1    0.000    0.000    0.001    0.001 __init__.py:29(<dictcomp>)
    11945    0.001    0.000    0.001    0.000 {built-in method builtins.next}
     5860    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x783a9a071a40}
        1    0.001    0.001    0.001    0.001 uml_model.py:174(<dictcomp>)
     8145    0.001    0.000    0.001    0.000 enum.py:1180(_missing_)
        1    0.001    0.001    0.001    0.001 uml_model.py:167(<dictcomp>)
      174    0.000    0.000    0.001    0.000 parser.py:43(parse_uml_package)
        1    0.000    0.000    0.001    0.001 uml_model.py:136(<dictcomp>)
     5243    0.001    0.000    0.001    0.000 uml_model.py:182(by_id)
     4240    0.001    0.000    0.001    0.000 {built-in method fromisoformat}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
     2748    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       88    0.000    0.000    0.000    0.000 emitter.py:310(expect_flow_mapping)
       88    0.000    0.000    0.000    0.000 emitter.py:316(expect_first_flow_mapping_key)
        1    0.000    0.000    0.000    0.000 uml_model.py:142(<dictcomp>)
        1    0.000    0.000    0.000    0.000 serializer.py:36(close)
        1    0.000    0.000    0.000    0.000 {built-in method _sqlite3.connect}
        3    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
       68    0.000    0.000    0.000    0.000 parse.py:835(__missing__)
        1    0.000    0.000    0.000    0.000 read.py:5(read_uml_relations)
        2    0.000    0.000    0.000    0.000 emitter.py:788(flush_stream)
        2    0.000    0.000    0.000    0.000 emitter.py:178(expect_document_start)
        1    0.000    0.000    0.000    0.000 read.py:36(read_uml_packages)
        1    0.000    0.000    0.000    0.000 emitter.py:214(expect_document_end)
        2    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        6    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 dumper.py:47(__init__)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        7    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:178(sub)
        1    0.000    0.000    0.000    0.000 emitter.py:226(expect_document_root)
        1    0.000    0.000    0.000    0.000 serializer.py:27(open)
      102    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 emitter.py:175(expect_first_document_start)
        1    0.000    0.000    0.000    0.000 emitter.py:797(write_stream_end)
        3    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 emitter.py:38(__init__)
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 parse.py:913(_byte_quoter_factory)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 parse.py:828(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.000    0.000 serializer.py:15(__init__)
        1    0.000    0.000    0.000    0.000 emitter.py:106(dispose)
        1    0.000    0.000    0.000    0.000 emitter.py:160(expect_stream_start)
        1    0.000    0.000    0.000    0.000 events.py:46(__init__)
        3    0.000    0.000    0.000    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
        1    0.000    0.000    0.000    0.000 representer.py:18(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 emitter.py:430(check_empty_document)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:186(__init__)
        1    0.000    0.000    0.000    0.000 events.py:55(__init__)
        1    0.000    0.000    0.000    0.000 resolver.py:21(__init__)
        1    0.000    0.000    0.000    0.000 events.py:37(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of 'sqlite3.Connection' objects}
        1    0.000    0.000    0.000    0.000 emitter.py:792(write_stream_start)
